ID	length	GC_num	IC_num	goodC_num	IC%	MD	TPR/FPRsum_min	TPR/FPRsum1	TPR/FPRsum2	TPR/FPRsum3	TPR/FPRsum4	TPR/FPRsum5	TPR/FPRsum6	TPR/FPRsum7	TPR/FPRsum8	TPR/FPRsum9	TPR/FPRsum_max	TPR_min	TPR_1	TPR_2	TPR_3	TPR_4	TPR_5	TPR_6	TPR_7	TPR_8	TPR_9	TPR_max	FPR_min	FPR_1	FPR_2	FPR_3	FPR_4	FPR_5	FPR_6	FPR_7	FPR_8	FPR_9	FPR_max	f_MEC	f_OLS	f_OLS/MD^2	f_FMC	f_fastmeC	f_newC	f_newC/nonIC_num	f_tree_length	f_topo	f_jk30	f_jk50	f_jk70	U_MEC	U_OLS	U_OLS/MD^2	U_FMC	U_fastmeC	U_newC	U_newC/nonIC_num	U_tree_length	U_topo	U_jk30	U_jk50	U_jk70	f/U_MEC	f/U_OLS	f/U_FMC	f/U_fastmeC	f/U_newC	f/U_topo	f/U_jk30	f/U_jk50	f/U_jk70	division
Pf_241_PF13793_1	118	1	36	81	30.51	0.4601	0.0005	0.02	0.0512	0.1	0.1262	0.16	0.1854	0.23	0.2867	0.3707	0.777	0.0003	0.0172	0.0347	0.0536	0.0801	0.105	0.1296	0.1613	0.2042	0.2583	0.4501	0	0.0074	0.016	0.0249	0.0352	0.0465	0.0602	0.0781	0.096	0.127	0.2986	5.6686	0.2927	1.3827	1.2036	0.2738	59350	723.78	2.608	1090	544	719	861	5.7428	0.667	3.1508	2.61	0.2798	57716	703.85	2.642	1005	533	700	823	0.9871	0.4388	0.4619	0.9786	1.0283	1.0846	1.0206	1.0271	1.0462	fitch
Pf_246_PF01416_2	107	7	7	93	6.54	1.0484	0.0008	0.02	0.0507	0.07	0.0908	0.11	0.1407	0.1689	0.1927	0.236	0.6617	0.0006	0.0114	0.0262	0.0386	0.0549	0.0692	0.0854	0.1076	0.1395	0.1771	0.4071	0.0001	0.0079	0.0166	0.0253	0.0349	0.0448	0.0574	0.0699	0.0887	0.1134	0.2374	5.6714	1.035	0.9416	0.8606	0.2722	75757	757.57	5.946	1227	614	829	995	5.7036	1.3975	1.2714	1.26	0.2753	75757	757.57	5.98	1220	751	934	1049	0.9944	0.7406	0.6823	0.9887	1	1.0057	0.8176	0.8876	0.9485	fitch
Pf_247_PF00271_1	79	3	21	55	26.58	0.4971	0.0015	0.04	0.0594	0.09	0.1176	0.16	0.2054	0.2551	0.3176	0.4306	1.3284	0.0016	0.0191	0.0365	0.0521	0.0704	0.0932	0.118	0.1496	0.1874	0.2484	0.7188	0	0.0078	0.0162	0.024	0.0318	0.0405	0.0511	0.0654	0.0832	0.1077	0.3153	4.9812	0.2296	0.9291	1.1482	0.2413	52901	912.09	2.476	1255	581	776	978	5.1226	0.6884	2.7858	3.55	0.2428	52648	907.72	2.546	1211	568	711	856	0.9724	0.3335	0.3231	0.9938	1.0048	1.0363	1.0229	1.0914	1.1425	fitch
Pf_250_PF00308_1	229	14	27	188	11.79	0.8581	0.0007	0.04	0.078	0.12	0.1681	0.23	0.2918	0.395	0.5123	0.6563	2.0197	0.0002	0.0133	0.028	0.0445	0.0678	0.0954	0.1233	0.1514	0.1864	0.2558	0.4747	0	0.0049	0.0094	0.0142	0.02	0.026	0.034	0.0428	0.0548	0.0726	0.1976	5.6098	0.3204	0.4351	0.4501	0.2679	151461	749.81	4.814	1227	784	871	973	5.4432	2.8209	3.8310	3.21	0.2758	149109	738.16	4.671	1139	809	946	1030	1.0306	0.1136	0.1404	0.9714	1.0158	1.0773	0.9691	0.9207	0.9447	fitch
Pf_255_PF02223_1	200	81	7	112	3.5	1.2967	0.0005	0.02	0.0466	0.07	0.0985	0.12	0.1575	0.1887	0.2202	0.268	0.5483	0.0006	0.0136	0.028	0.0446	0.0661	0.0856	0.1092	0.1347	0.1658	0.2332	0.4305	0.0001	0.0095	0.0191	0.0279	0.0395	0.0502	0.0645	0.0793	0.1008	0.1325	0.3414	6.0592	2.6067	1.5503	1.2853	0.2935	108334	561.32	7.857	1090	590	743	804	6.125	3.6809	2.1891	2.05	0.2953	108806	563.76	7.943	1038	642	864	1021	0.9893	0.7082	0.6256	0.9939	0.9957	1.0501	0.919	0.86	0.7875	UPGMA
Pf_258_PF00861_1	119	25	22	72	18.49	0.6779	0.0018	0.03	0.0481	0.08	0.1088	0.14	0.1717	0.2131	0.2717	0.341	0.6803	0.0007	0.019	0.0366	0.0517	0.0703	0.0943	0.1161	0.1561	0.1965	0.2627	0.5218	0.0001	0.0083	0.0168	0.0274	0.0396	0.0535	0.0654	0.08	0.0981	0.1279	0.2731	5.6882	0.6254	1.3609	1.1818	0.2731	69909	720.71	3.856	1155	645	814	958	5.6966	1.3175	2.8669	2.49	0.2735	69874	720.35	3.861	1137	732	909	1033	0.9985	0.4747	0.4746	0.9985	1.0005	1.0158	0.8811	0.8955	0.9274	fitch
Pf_262_PF01000_1	141	45	12	84	8.51	0.9461	0.0006	0.03	0.0551	0.08	0.1154	0.15	0.1939	0.2375	0.29	0.3482	0.5956	0.0005	0.0147	0.0312	0.0481	0.0652	0.0916	0.1154	0.1457	0.1732	0.2171	0.3749	0	0.0065	0.0144	0.0233	0.0331	0.0431	0.0544	0.0655	0.0815	0.1084	0.2727	4.9084	0.8078	0.9025	0.8786	0.2351	89566	694.31	4.644	1203	790	926	996	4.956	2.0687	2.3111	1.99	0.2353	90141	698.77	4.689	1174	910	1054	1103	0.9904	0.3905	0.4407	0.9992	0.9936	1.0247	0.8681	0.8786	0.903	UPGMA
Pf_264_PF00410_1	129	4	24	101	18.6	0.6991	0.0006	0.02	0.0523	0.08	0.1179	0.15	0.1963	0.2451	0.2929	0.3696	0.8607	0.0004	0.0125	0.0263	0.045	0.0626	0.0876	0.1122	0.1417	0.1755	0.2372	0.4937	0	0.008	0.0146	0.0233	0.0315	0.041	0.0522	0.0644	0.0789	0.1013	0.2301	5.208	0.4362	0.8925	0.7676	0.248	88238	840.36	3.641	1211	749	873	991	5.1674	1.24	2.5371	2.27	0.2497	88395	841.86	3.612	1163	805	967	1049	1.0079	0.3518	0.3381	0.9932	0.9982	1.0413	0.9304	0.9028	0.9447	UPGMA
Pf_266_PF00584_1	60	7	2	51	3.33	1.4047	0.0007	0.03	0.0517	0.07	0.0972	0.13	0.1464	0.1733	0.2077	0.2501	0.6942	0.0006	0.0215	0.0413	0.06	0.0793	0.1099	0.1348	0.1631	0.2062	0.2685	0.4887	0	0.0117	0.0234	0.0356	0.0495	0.0649	0.0818	0.1009	0.1257	0.1612	0.3425	5.6182	4.0643	2.0598	1.703	0.2725	42944	740.41	7.892	1132	562	767	939	5.5874	5.3894	2.7313	2.62	0.2745	42991	741.22	7.848	1103	683	948	1088	1.0055	0.7541	0.6504	0.9927	0.9989	1.0263	0.8228	0.8091	0.8631	UPGMA
Pf_268_PF03548_1	176	50	4	122	2.27	1.9637	0.0024	0.04	0.0643	0.09	0.1204	0.16	0.1854	0.2208	0.2818	0.3832	1.0265	0.0018	0.0235	0.0412	0.0614	0.0834	0.1041	0.1306	0.1645	0.1985	0.2823	0.5952	0.0001	0.0093	0.0179	0.0271	0.0386	0.0511	0.0623	0.0795	0.0957	0.1238	0.2586	5.8954	4.7638	1.2354	0.8441	0.284	100740	585.7	11.577	1064	601	759	941	5.7988	13.4228	3.4809	2.24	0.2885	101719	591.39	11.388	898	709	919	999	1.0167	0.3549	0.3775	0.9844	0.9904	1.1849	0.8477	0.8259	0.9419	fitch
Pf_269_PF02223_1	199	17	26	156	13.07	1.0941	0.0006	0.03	0.0584	0.09	0.1135	0.14	0.1828	0.2184	0.2659	0.3309	0.6005	0.0004	0.0166	0.0373	0.0521	0.0737	0.0935	0.1181	0.1438	0.1786	0.216	0.5037	0	0.0089	0.0181	0.0268	0.0363	0.0466	0.0577	0.0705	0.0873	0.1141	0.2558	5.7526	1.1888	0.9931	0.9556	0.2761	123133	711.75	6.294	1187	745	850	968	5.7932	3.0177	2.5209	2.73	0.2775	122818	709.93	6.339	1158	675	846	910	0.993	0.3939	0.3506	0.995	1.0026	1.025	1.1037	1.0047	1.0637	fitch
Pf_270_PF07516_1	215	3	30	182	13.95	0.818	0.0005	0.04	0.0702	0.1	0.138	0.2	0.2495	0.3103	0.3891	0.5294	1.0317	0.0002	0.0161	0.0303	0.0436	0.064	0.0856	0.1097	0.1386	0.174	0.2268	0.4283	0	0.0056	0.0119	0.0184	0.0249	0.0323	0.0408	0.0501	0.0618	0.0807	0.2116	6.1712	0.3214	0.4803	0.4605	0.2949	115073	622.02	5.048	1156	564	779	902	6.0634	1.3231	1.9774	2.26	0.2996	112654	608.94	4.959	982	646	795	935	1.0178	0.2429	0.2038	0.9843	1.0215	1.1772	0.8731	0.9799	0.9647	fitch
Pf_271_PF00831_1	58	0	7	51	12.07	0.8596	0.0003	0.03	0.0573	0.09	0.12	0.15	0.1916	0.2353	0.2833	0.3561	0.6863	0.0003	0.0227	0.0435	0.0734	0.0964	0.1309	0.1656	0.199	0.249	0.319	0.6813	0	0.0103	0.0217	0.033	0.0458	0.062	0.078	0.0969	0.123	0.1597	0.3607	5.9374	1.4963	2.0250	1.7629	0.2853	36550	716.67	5.104	1048	372	553	725	5.9794	2.9106	3.9390	3.74	0.2961	36352	712.78	5.14	924	437	587	783	0.993	0.5141	0.4709	0.9635	1.0054	1.1342	0.8513	0.9421	0.9259	UPGMA
Pf_273_PF01380_1	136	10	29	97	21.32	0.6602	0.0001	0.03	0.0563	0.08	0.1098	0.14	0.1727	0.2057	0.2474	0.3215	0.631	0	0.0175	0.0348	0.0551	0.0752	0.0935	0.1179	0.1471	0.1798	0.2339	0.5003	0.0001	0.0092	0.0179	0.0272	0.0379	0.0487	0.0624	0.0793	0.0994	0.1297	0.2835	5.8758	0.6036	1.3848	1.2713	0.2828	69068	645.5	3.879	1083	602	750	814	5.894	1.2016	2.7568	2.52	0.2851	68778	642.79	3.891	1060	677	884	1027	0.9969	0.5023	0.5052	0.9919	1.0042	1.0217	0.8892	0.8484	0.7926	fitch
Pf_274_PF09334_1	430	97	39	294	9.07	1.2222	0.0005	0.03	0.0631	0.09	0.1259	0.15	0.1828	0.2157	0.2713	0.3219	0.7549	0.0001	0.009	0.0169	0.0269	0.034	0.0424	0.0534	0.0702	0.0845	0.1106	0.2727	0	0.004	0.0084	0.0124	0.0174	0.0212	0.0266	0.0336	0.0423	0.0556	0.1216	4.4716	0.3827	0.2562	0.1937	0.2138	364061	931.1	5.465	1284	923	1007	1088	4.4842	0.9547	0.6391	0.64	0.2154	363027	928.46	5.48	1182	868	907	954	0.9972	0.4009	0.3004	0.9926	1.0028	1.0863	1.0634	1.1103	1.1405	UPGMA
Pf_277_PF01926_2	213	50	63	100	29.58	0.4454	0.0001	0.03	0.0633	0.1	0.162	0.2	0.2587	0.3206	0.3722	0.4833	0.8717	0.0001	0.0268	0.0523	0.0788	0.1128	0.1607	0.2014	0.2526	0.3406	0.4154	0.7933	0.0001	0.0082	0.0191	0.0287	0.0397	0.0521	0.0695	0.0937	0.1214	0.1654	0.368	5.9178	0.3254	1.6403	1.4854	0.2848	82347	548.98	2.636	1154	584	793	925	5.9416	1.0814	5.4511	4.95	0.2929	81704	544.69	2.647	1003	631	827	904	0.996	0.3009	0.2999	0.9723	1.0079	1.1505	0.9255	0.9589	1.0232	UPGMA
Pf_284_PF01245_1	119	6	25	88	21.01	0.5286	0.0005	0.03	0.0555	0.08	0.1096	0.14	0.1669	0.2028	0.2585	0.3372	0.7458	0.0004	0.0182	0.0352	0.058	0.0771	0.0987	0.1258	0.1591	0.2	0.2552	0.6071	0.0001	0.0092	0.0171	0.0269	0.0374	0.0512	0.0646	0.0815	0.1047	0.1432	0.2792	6.1348	0.4392	1.5718	1.465	0.2937	51285	545.59	3.243	966	426	603	744	6.1068	0.6952	2.4880	2.76	0.2958	50774	540.15	3.228	942	481	664	801	1.0046	0.6318	0.5314	0.9929	1.0101	1.0255	0.8857	0.9081	0.9288	fitch
Pf_285_PF01336_1	88	5	16	67	18.18	0.8232	0.0002	0.02	0.0441	0.08	0.1029	0.13	0.1688	0.2024	0.2591	0.3429	0.7006	0.0001	0.0196	0.0358	0.0605	0.0811	0.1119	0.1403	0.1862	0.2666	0.3611	0.7991	0.0002	0.0119	0.0234	0.034	0.0482	0.0613	0.0778	0.0987	0.1263	0.1738	0.4572	5.5174	1.8133	2.6758	1.8829	0.2666	55243	767.26	4.542	1095	536	740	913	5.6504	3.3949	5.0098	4.09	0.2824	53912	748.78	4.65	986	654	839	996	0.9765	0.5341	0.4607	0.9441	1.0247	1.1105	0.8196	0.882	0.9167	fitch
Pf_289_PF03900_1	76	7	6	63	7.89	1.2039	0.0001	0.02	0.0485	0.08	0.1068	0.13	0.17	0.203	0.2447	0.3425	0.7809	0.0001	0.0197	0.04	0.0644	0.0908	0.1224	0.156	0.1831	0.2274	0.3077	0.7303	0.0003	0.0099	0.0208	0.0319	0.0471	0.0602	0.0802	0.0993	0.1271	0.1603	0.4808	6.3518	3.1836	2.1965	1.6798	0.3059	41067	586.67	7.647	972	278	462	622	6.3504	6.0923	4.2034	3.56	0.3135	40836	583.37	7.644	862	390	557	756	1.0002	0.5226	0.4723	0.9758	1.0057	1.1276	0.7128	0.8294	0.8228	UPGMA
Pf_294_PF00829_1	97	7	13	77	13.4	0.7187	0.0001	0.03	0.0548	0.09	0.1145	0.15	0.1845	0.2163	0.2727	0.3518	0.8309	0	0.0147	0.0354	0.0543	0.0754	0.0976	0.1203	0.1532	0.1953	0.2692	0.5868	0	0.0082	0.0166	0.025	0.0365	0.0481	0.0606	0.0766	0.096	0.1252	0.2822	5.9416	0.7401	1.4328	1.1972	0.2918	55468	660.33	4.27	1147	456	630	804	6.0046	1.2387	2.3981	2.3	0.2893	55677	662.82	4.314	1130	503	713	925	0.9895	0.5975	0.5203	1.0086	0.9962	1.015	0.9066	0.8836	0.8692	UPGMA
Pf_299_PF00588_1	142	2	11	129	7.75	0.8982	0.0001	0.03	0.0551	0.08	0.1055	0.13	0.1669	0.1938	0.2414	0.3273	0.6664	0	0.0151	0.0317	0.0462	0.0622	0.0854	0.1038	0.1268	0.1588	0.2089	0.4136	0	0.0078	0.0176	0.0258	0.0344	0.0451	0.0562	0.0699	0.0856	0.1116	0.2546	5.901	1.0969	1.3596	0.9412	0.283	78064	595.91	5.3	1059	542	769	944	5.9388	1.4383	1.7828	1.89	0.2839	77886	594.55	5.334	1037	643	791	905	0.9936	0.7626	0.4971	0.9968	1.0023	1.0212	0.8429	0.9722	1.0431	UPGMA
Pf_302_PF01618_1	146	14	21	111	14.38	0.8629	0.0011	0.03	0.0588	0.08	0.1107	0.15	0.1801	0.2354	0.2828	0.3573	0.8235	0.0009	0.0156	0.0303	0.0471	0.0628	0.0802	0.1086	0.1326	0.1672	0.2129	0.379	0	0.0071	0.0151	0.0237	0.0317	0.0404	0.05	0.062	0.0774	0.1008	0.2209	5.8352	0.6997	0.9397	0.7574	0.2819	82749	661.99	5.035	1163	732	917	1013	5.8604	1.4604	1.9613	1.63	0.2832	82737	661.9	5.056	1163	838	1033	1115	0.9957	0.4791	0.4639	0.9954	1.0001	1	0.8735	0.8877	0.9085	fitch
Pf_309_PF02190_1	195	5	47	143	24.1	0.7227	0.0014	0.04	0.0846	0.12	0.1503	0.19	0.2338	0.3005	0.3788	0.5032	1.0285	0.0009	0.0205	0.0377	0.0553	0.0725	0.0927	0.1201	0.1478	0.1867	0.2339	0.4722	0	0.0062	0.0133	0.0196	0.0278	0.0357	0.0451	0.0573	0.0682	0.0872	0.1958	6.153	0.2892	0.5537	0.4978	0.2961	100947	682.07	4.447	1195	642	853	955	6.1474	1.6635	3.1850	2.9	0.3057	97907	661.53	4.443	1024	589	758	804	1.0009	0.1739	0.1715	0.9686	1.031	1.167	1.09	1.1253	1.1878	fitch
Pf_322_PF00298_1	78	9	9	60	11.54	0.6634	0.0001	0.02	0.0532	0.08	0.1113	0.14	0.1945	0.2406	0.2778	0.3925	0.7283	0.0001	0.0199	0.0362	0.0541	0.0828	0.1128	0.1437	0.176	0.2203	0.2836	0.8853	0.0001	0.0081	0.0181	0.0275	0.0377	0.0497	0.0658	0.0835	0.106	0.1415	0.2912	5.3494	0.7904	1.7960	1.679	0.2604	46416	672.7	3.549	1150	515	634	757	5.3032	1.603	3.6424	3.84	0.2628	46324	671.36	3.518	1128	578	699	904	1.0087	0.4931	0.4373	0.9909	1.002	1.0195	0.891	0.907	0.8374	UPGMA
Pf_323_PF03023_1	515	99	30	386	5.83	1.2319	0.0002	0.02	0.0535	0.08	0.1193	0.15	0.1838	0.2236	0.2783	0.4118	1.1636	0.0001	0.0095	0.0212	0.0336	0.0481	0.0623	0.0837	0.1032	0.1276	0.1674	0.4059	0	0.0057	0.012	0.0177	0.0241	0.0311	0.0382	0.0469	0.0596	0.0783	0.1538	5.8688	0.8269	0.5449	0.4628	0.281	304153	627.12	7.23	1197	885	989	1059	5.8898	1.837	1.2105	1.65	0.2814	304517	627.87	7.257	1187	914	1004	1034	0.9964	0.4501	0.2802	0.9986	0.9988	1.0084	0.9683	0.9851	1.0242	fitch
Pf_324_PF02355_2	183	8	36	139	19.67	0.6597	0.0015	0.03	0.0651	0.09	0.1237	0.15	0.1784	0.212	0.2636	0.3388	0.6679	0.0005	0.0157	0.0336	0.0476	0.0607	0.0746	0.0925	0.1094	0.1381	0.1723	0.4024	0	0.0065	0.0137	0.021	0.0284	0.0354	0.0456	0.0577	0.0721	0.0922	0.1715	5.8422	0.2682	0.6163	0.576	0.279	102708	698.69	3.854	1180	670	831	918	5.866	0.7031	1.6156	1.55	0.2816	102163	694.99	3.87	1140	682	836	1002	0.9959	0.3815	0.3716	0.9908	1.0053	1.0351	0.9824	0.994	0.9162	fitch
Pf_325_PF01380_1	131	3	35	93	26.72	0.5911	0.0008	0.03	0.0574	0.09	0.115	0.14	0.1739	0.2203	0.2675	0.3276	0.7698	0.0005	0.0158	0.0303	0.0438	0.0615	0.0763	0.0961	0.1166	0.1531	0.2009	0.3635	0.0001	0.007	0.0139	0.0215	0.0292	0.0373	0.048	0.0602	0.0743	0.1	0.253	5.0722	0.2853	0.8165	0.6918	0.2443	90870	946.56	2.998	1258	763	884	969	5.1324	0.5882	1.6835	1.57	0.2443	90749	945.3	3.033	1247	810	951	1068	0.9883	0.4850	0.4416	1	1.0013	1.0088	0.942	0.9295	0.9073	UPGMA
Pf_328_PF14714_1	82	1	9	72	10.98	1.0008	0.0005	0.02	0.0527	0.08	0.1058	0.13	0.1575	0.1846	0.2237	0.2671	0.5133	0.0002	0.0146	0.0293	0.0486	0.066	0.0833	0.1036	0.1236	0.1486	0.2002	0.5697	0.0001	0.0078	0.0173	0.0254	0.036	0.0461	0.0579	0.0715	0.0899	0.1191	0.2393	5.2416	1.1358	1.1340	1.0679	0.2521	64788	887.51	5.246	1102	521	618	748	5.257	1.6629	1.6602	1.93	0.2637	63596	871.18	5.261	1020	551	641	761	0.9971	0.6830	0.5533	0.956	1.0187	1.0804	0.9456	0.9641	0.9829	fitch
Pf_332_PF02355_1	194	8	19	167	9.79	0.8973	0.0002	0.03	0.059	0.09	0.131	0.17	0.2052	0.2602	0.3227	0.4094	1.1506	0.0001	0.017	0.0297	0.0484	0.0678	0.0866	0.1093	0.1393	0.1678	0.221	0.4191	0	0.0072	0.0142	0.0207	0.0286	0.0378	0.0477	0.0606	0.0746	0.0945	0.2006	5.922	0.6019	0.7476	0.661	0.2834	125076	714.72	5.314	1138	626	799	977	5.9108	1.8399	2.2852	2.33	0.2874	124891	713.66	5.304	1100	688	819	887	1.0019	0.3271	0.2834	0.9861	1.0015	1.0345	0.9099	0.9756	1.1015	fitch
Pf_336_PF04983_1	174	31	28	115	16.09	0.7725	0.0012	0.03	0.0646	0.09	0.1113	0.14	0.173	0.2036	0.2419	0.323	0.6164	0.0006	0.0156	0.0285	0.0426	0.0566	0.0712	0.0877	0.1121	0.1396	0.1793	0.3441	0	0.0062	0.0126	0.0197	0.027	0.0373	0.047	0.0599	0.0742	0.0952	0.2159	5.6378	0.4306	0.7216	0.6807	0.2697	98723	676.18	4.355	1164	608	751	790	5.6994	0.858	1.4378	1.42	0.2705	98660	675.75	4.402	1114	601	740	836	0.9892	0.5019	0.4802	0.997	1.0006	1.0449	1.0116	1.0149	0.945	UPGMA
Pf_337_PF01281_1	48	0	10	38	20.83	0.7392	0.0001	0.03	0.0487	0.08	0.1129	0.15	0.1776	0.2207	0.2715	0.3415	0.6425	0	0.0275	0.0603	0.098	0.1321	0.1706	0.2098	0.2658	0.331	0.4328	1.0391	0	0.0154	0.031	0.0474	0.066	0.0874	0.1085	0.1333	0.1673	0.2144	0.495	5.1478	2.5459	4.6593	3.2626	0.2495	27868	733.37	3.805	1021	448	693	814	5.4642	4.2716	7.8175	8.95	0.257	27876	733.58	4.039	956	455	640	727	0.9421	0.5960	0.3647	0.9708	0.9997	1.068	0.9846	1.0828	1.1197	fitch
Pf_339_PF00252_1	130	1	39	90	30	0.4578	0.0015	0.03	0.065	0.11	0.1455	0.18	0.2301	0.2842	0.3542	0.4586	1.4211	0.0008	0.0208	0.041	0.0615	0.0881	0.1126	0.1414	0.1664	0.2094	0.2947	0.5409	0	0.0072	0.0151	0.0236	0.0329	0.0429	0.056	0.0692	0.087	0.1123	0.248	5.1002	0.2543	1.2134	1.1502	0.2459	72066	791.93	2.335	1140	636	798	923	5.012	0.7324	3.4946	3.2	0.2458	72775	799.73	2.294	1087	774	936	1041	1.0176	0.3472	0.3599	1.0004	0.9903	1.0488	0.8217	0.8526	0.8866	UPGMA
Pf_341_PF00889_1	241	140	13	88	5.39	0.9001	0.0002	0.03	0.066	0.09	0.1184	0.15	0.1933	0.229	0.2894	0.3548	0.9917	0.0001	0.0139	0.0342	0.0534	0.0679	0.0919	0.1147	0.1456	0.1838	0.243	0.5092	0	0.0072	0.0147	0.0232	0.0325	0.0432	0.0547	0.0691	0.0891	0.1142	0.2924	6.104	0.9367	1.1562	1.0323	0.2938	119173	522.69	5.494	1053	578	698	799	6.0998	1.909	2.3563	2.15	0.2991	120360	527.89	5.489	988	672	861	1021	1.0007	0.4907	0.4795	0.9823	0.9901	1.0658	0.8601	0.8107	0.7826	UPGMA
Pf_345_PF01513_1	290	98	23	169	7.93	1.4274	0.0001	0.02	0.0622	0.08	0.1036	0.13	0.155	0.1897	0.2261	0.2918	0.6466	0	0.01	0.0235	0.0369	0.0479	0.0617	0.0768	0.0947	0.1156	0.1451	0.3396	0	0.0069	0.0135	0.0199	0.0264	0.0341	0.0423	0.0524	0.0643	0.0813	0.169	4.9252	1.1092	0.5444	0.4429	0.2357	217435	814.36	7.03	1246	916	1013	1111	4.9322	1.9911	0.9772	0.82	0.2356	215927	808.72	7.041	1227	1044	1118	1172	0.9986	0.5571	0.5386	1.0004	1.007	1.0155	0.8774	0.9061	0.948	UPGMA
Pf_346_PF08245_3	189	25	23	141	12.17	0.771	0.0003	0.03	0.0512	0.09	0.1136	0.14	0.1691	0.1952	0.2346	0.302	0.6576	0.0001	0.0127	0.0249	0.0451	0.058	0.0723	0.0839	0.1001	0.1288	0.1689	0.3634	0	0.0061	0.0132	0.0216	0.0309	0.0385	0.0477	0.0602	0.0737	0.0929	0.2396	6.3336	0.3956	0.6655	0.6159	0.3034	91110	548.86	4.883	1131	604	830	969	6.3966	0.6897	1.1602	1.35	0.3052	90898	547.58	4.931	1109	630	809	926	0.9902	0.5736	0.4546	0.9941	1.0023	1.0198	0.9587	1.026	1.0464	fitch
Pf_348_PF02879_1	99	0	29	70	29.29	0.6705	0.0019	0.02	0.047	0.07	0.102	0.13	0.1545	0.1839	0.2245	0.2852	0.5918	0.0007	0.015	0.0314	0.0521	0.0685	0.0884	0.1108	0.135	0.1682	0.22	0.5628	0	0.0093	0.0175	0.0272	0.0388	0.0512	0.0641	0.0796	0.099	0.1322	0.2672	6.4344	0.6264	1.3933	1.3297	0.3105	45214	645.91	4.314	1010	298	491	651	6.4386	1.155	2.5691	2.64	0.3107	44652	637.89	4.316	974	289	437	576	0.9993	0.5423	0.5043	0.9994	1.0126	1.037	1.0311	1.1236	1.1302	UPGMA
Pf_352_PF08245_2	213	47	17	149	7.98	1.1521	0.0008	0.03	0.0529	0.08	0.1136	0.14	0.1712	0.2105	0.2698	0.3438	0.8131	0.0007	0.0152	0.0295	0.0431	0.064	0.0827	0.1059	0.1276	0.1551	0.2116	0.5485	0.0001	0.0082	0.0154	0.0231	0.0318	0.0417	0.0537	0.066	0.0819	0.107	0.2261	6.1446	1.2491	0.9411	0.6619	0.2934	104563	533.48	7.079	1084	578	787	933	6.2832	2.2795	1.7174	1.42	0.2969	103015	525.59	7.238	966	585	745	836	0.9779	0.5480	0.4651	0.9882	1.015	1.1222	0.988	1.0564	1.116	fitch
Pf_353_PF01416_1	103	48	10	45	9.71	0.9658	0.0011	0.03	0.0469	0.07	0.1039	0.12	0.1455	0.1747	0.2058	0.2392	0.4391	0.0006	0.0192	0.0328	0.0515	0.0683	0.0879	0.111	0.1458	0.1824	0.2258	0.5236	0	0.011	0.0208	0.0312	0.0412	0.0544	0.0694	0.0863	0.1101	0.1409	0.3228	6.0466	1.7214	1.8455	1.4452	0.2959	53862	579.16	5.84	1089	418	601	823	6.1236	1.9136	2.0515	1.99	0.2953	54224	583.05	5.913	1070	485	706	819	0.9874	0.8996	0.7262	1.002	0.9933	1.0178	0.8619	0.8513	1.0049	UPGMA
Pf_355_PF07479_1	145	8	29	108	20	0.8777	0.0008	0.02	0.0459	0.07	0.0944	0.14	0.1667	0.2163	0.2738	0.3391	0.5304	0.0007	0.0131	0.0272	0.0433	0.062	0.0808	0.1027	0.122	0.1606	0.2148	0.4037	0	0.0083	0.0161	0.0243	0.0336	0.0437	0.057	0.0697	0.0861	0.1105	0.246	5.5804	0.8156	1.0587	0.9567	0.2678	89642	772.78	4.898	1110	734	883	996	5.6014	1.5577	2.0220	2.14	0.268	89050	767.67	4.916	1090	764	933	1028	0.9963	0.5236	0.4472	0.9993	1.0066	1.0183	0.9607	0.9464	0.9689	UPGMA
Pf_357_PF00344_1	358	20	94	244	26.26	0.5216	0.0002	0.02	0.0533	0.09	0.1174	0.15	0.1903	0.2304	0.2852	0.3433	0.9217	0.0001	0.0094	0.0211	0.0352	0.0506	0.0655	0.0779	0.0985	0.1235	0.1602	0.3	0	0.0053	0.0117	0.0168	0.0238	0.0306	0.0392	0.0469	0.0588	0.0755	0.146	5.558	0.117	0.4300	0.3892	0.2662	177239	671.36	2.899	1225	874	981	1031	5.5706	0.3188	1.1718	1.22	0.2662	177388	671.92	2.905	1186	857	936	1020	0.9977	0.3670	0.3184	1	0.9992	1.0329	1.0198	1.0481	1.0108	fitch
Pf_358_PF01327_1	169	18	29	122	17.16	0.7679	0.0007	0.03	0.0596	0.1	0.1519	0.18	0.2274	0.2856	0.3765	0.5239	1.3458	0.0005	0.018	0.0433	0.0665	0.0978	0.1248	0.149	0.1834	0.2394	0.3181	0.6603	0	0.0078	0.016	0.0245	0.0344	0.0456	0.0588	0.0716	0.0924	0.1265	0.3039	5.9864	0.7522	1.2756	1.1628	0.2904	80942	578.16	4.597	1120	564	722	877	6.0088	2.6305	4.4610	4.03	0.2982	77712	555.09	4.614	848	518	752	971	0.9963	0.2860	0.2883	0.9738	1.0416	1.3208	1.0888	0.9601	0.9032	UPGMA
